bardzo dobrze,very well
bez problemu,no problem
biały,white
biedny,poor
bliski,close
blisko,near
bogaty,rich
brązowy,brown
brzydki,ugly
buty,shoes
chcę,I want
chłopiec,boy
cichy,quiet
ciemny,dark
ciepło,warm
czarny,black
czas,time
czerwony,red
cztery,four
czy mogę zapłacić kartą,can I pay by card
daleki,far
daleko,far
deszczowo,rainy
dobranoc,goodnight
dobry,good
dobrze,good
dom,home
do widzenia,goodbye
do widzenia,gooodby
do widzenia,gooodbye
duży,big
duży,large
dwa,two
dziecko,child
dzięki,thanks
dziękuję,thank you
dzień,day
dzień dobry,good morning
dziewczyna,girl
dziewięć,nine
dziś,today
fioletowy,purple
gdzie jest,to where is
głośny,loud
godzina,hour
gorąco,hot
gorący,hot
herbata,tea
ile to kosztuje,how much does it cost
iść,go
i ty,and you
jaki masz numer telefonu,what's your phone number
jak się masz,how are you
jak tam,to how are things
jasny,bright
jeden,one
jedzenie,food
jutro,tomorrow
kalendarz,calendar
kawa,coffee
kolor,color
korzystać,use
kraj,country
łatwy,easy
mały,small
mama,mom
mapa,map
mąż,husband
miasto,city
miejsce,place
miesiąc,month
miłość,love
minuta,minuite
młody,young
móc,can
mówisz po angielsku,do you speak English
na razie,see you later
nazywam się,my name is
niebieski,blue
nie jest źle,not bad
nie mówię po polsku,I don't speak Polish
nie,no
nie rozumiem,I don't understand
nie wiem,I don't know
no,nie
nowy,new
osiem,eight
pięć,five
piękny,beautiful
piwo,beer
pochmurno,cloudy
pomarańczowy,orange
poproszę o rachunek,can I have the bill
potrzebuję,I need
proszę bardzo,you're welcome
proszę,please
przepraszam,excuse me
przychodzić,come
przyjaciel,friend
robić,do
robić,make
rodzina,family
rok,year
różowy,pink
rozumiem,I understand
sekunda,second
siedem,seven
skąd jesteś,where are you from
słonecznie,sunny
śmiać się,laugh
śnieg,snow
stary,old
szary,grey
sześć,six
szybki,fast
tak,yes
tata,dad
to,this
trzy,three
tydzień,week
ubranie,clothing
wczoraj,yesterday
widzieć,see
wietrznie,windy
wino,wine
woda,water
wolny,slow
w porządku,alright
zawsze,always
zero,zero
zielony,green
zimno,cold
zimny,cold
źle,bad
zły,bad
żółty,yellow
żona,wife
