wczoraj,yesterday
dziś,today
jutro,tomorrow
dzień,day
tydzień,week
miesiąc,month
rok,year
kalendarz,calendar
sekunda,second
minuta,minuite
godzina,hour
móc,can
korzystać,use
robić,do
iść,go
przychodzić,come
śmiać się,laugh
robić,make
widzieć,see
daleko,far
blisko,near
mały,small
duży,large
dobry,good
zły,bad
piękny,beautiful
brzydki,ugly
dzień dobry,good morning
do widzenia,gooodbye
tak,yes
no,nie
zero,zero
jeden,one
dwa,two
trzy,three
cztery,four
pięć,five
sześć,six
siedem,seven
osiem,eight
dziewięć,nine
to,this
